Pavani Lakeview,Pavani Group,Panathur Village,2 3 BHK,Bangalore
Sai Sunshine,Sai Mythri Developers,Arakere,2 3 4 BHK,Bangalore
Samruddhi Garden,Unnathi Developers & Promoters,Vijaypura,Residential Plot,Bangalore
Vajram Essenza,Vajram Group,Hebbal,2 3 BHK,Bangalore
Kings & Queens,Mahaghar Properties Pvt. Ltd.,JP Nagar,2 3 BHK,Bangalore
Renaissance Woods,Renaissance Holdings & Developers Pvt. Ltd.,Jalahalli,3 BHK,Bangalore
Sai Aster,VH Shelters,Yelahanka,2 3 BHK,Bangalore
Stellar Chaitya,Stellar Homes,Chikkabalapur,Residential Plot,Bangalore
Sri Krishna Sai Enclave,SLV Builders and Developers,Hoodi,2 3 BHK,Bangalore
Prakash Emerald,Vaishnavi Constructions,Sultan Palya,2 3 BHK,Bangalore
Golden Grand,Golden Gate Properties Ltd.,Rajaji Nagar,2 3 BHK,Bangalore
Gateway Meadows,Gateway Shelters,Devanahalli,Residential Plot,Bangalore
Chowriappa Constellation,Chowriappa Constructions Pvt. Ltd.,Hennur Ma,2 3 4 BHK,Bangalore
Sumo Leaves,Sumo Properties,Kanakapura Road,1 2 BHK,Bangalore
Isha Casablanca,Sree Vandana Infra Build Pvt. Ltd.,Marathahalli,2 3 BHK,Bangalore
Mantri Royale,Mantri Realty Ltd.,Kanakapura Road,2 3 BHK,Bangalore
EarthShine,Jain Heights and Structures Pvt. Ltd.,Sarjapur,Residential Plot,Bangalore
Lakeview Golden Nest,Mitta Group,Chanda Pur,3 BHK,Bangalore
Greens Cassia Court,My Home Greens Projects Pvt. Ltd.,NRI Layout,2 3 4 BHK,Bangalore
Sovereign Sonaa,Sovereign Developers & Infrastructure Ltd.,ManjuNath Nagar,2 3 BHK,Bangalore
Radiant Jasmine Terrace,Radiant Structures Pvt. Ltd.,Yelahanka,2 BHK,Bangalore
GK Lake View,GK Shelters Pvt. Ltd.,Yelahanka,2 3 BHK,Bangalore
Icon Malgudi,Icon Infra Shelters (I) Pvt. Ltd.,Electronic City,Residential Plot,Bangalore
Icon Laurels,ICON Developers & Promoters,Electronic City,3 BHK,Bangalore
VARS Splendid,VARS Builders & Developers,Old Madras Road,2 BHK,Bangalore
Puja Sarovar,Puja Megastructures Pvt. Ltd.,Kanakapura Road,2 3 BHK,Bangalore
Smondo 3,Patel Realty India Limited,Electronic City,1 2 3 BHK,Bangalore
Provident Sunworth,Provident Housing Limited,Mysore Road,2 3 BHK,Bangalore
Golden Lake View,Golden Nest Builders & Developers,Silk Board,2 BHK,Bangalore
ND Passion Elite,ND Developers Pvt. Ltd.,Harlur Rd,2 3 4 BHK,Bangalore
Asset Alcazar,Asset Builders,Sarjapur Road,3 BHK,Bangalore
Sapthagiri Nagar,Bhagini Developers,Banashankari Stage 3,2 3 BHK,Bangalore
DS MAX Starwood,DS-Max Properties Pvt. Ltd.,Tumkur Road,2 3 BHK,Bangalore
Hebron Enclave,Hebron Properties Pvt. Ltd.,K R Puram,5 >5 BHK,Bangalore
MJ Lifestyle Azaliya,MJ Infrastructure,Sarjapur Road,2 3 BHK,Bangalore
White Wings,Fortuna Constructions India Pvt. Ltd.,Basava Nagar,2 3 BHK,Bangalore
T. G. Aabhushan,T.G. Developers,Begur Road,2 3 BHK,Bangalore
